Q,A,U,T
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189,POI_14,489 489 489 489 489 489,1 4 5 3 2 13
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14,POI_13,489 489 489 489 489 489 489,1 4 5 3 2 13 5
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13,POI_29,489 489 489 489 489 489 489 489,1 4 5 3 2 13 5 0
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29,POI_90,489 489 489 489 489 489 489 489 489,1 4 5 3 2 13 5 0 1
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90,POI_35,489 489 489 489 489 489 489 489 489 489,1 4 5 3 2 13 5 0 1 3
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90 POI_35,POI_188,489 489 489 489 489 489 489 489 489 489 489,1 4 5 3 2 13 5 0 1 3 3
POI_224 POI_84 POI_190 POI_230 POI_99 POI_189 POI_14 POI_13 POI_29 POI_90 POI_35 POI_188,POI_229,489 489 489 489 489 489 489 489 489 489 489 489,1 4 5 3 2 13 5 0 1 3 3 0
POI_188 POI_131,POI_84,489 489,1 5
POI_228 POI_187,POI_115,489 489,1 7
POI_228 POI_187 POI_115,POI_232,489 489 489,1 7 21
POI_228 POI_187 POI_115 POI_232,POI_80,489 489 489 489,1 7 21 3
POI_228 POI_187 POI_115 POI_232 POI_80,POI_95,489 489 489 489 489,1 7 21 3 11
POI_190 POI_90,POI_97,490 490,1 2
POI_190 POI_90 POI_97,POI_230,490 490 490,1 2 2
POI_35 POI_47,POI_51,491 491,1 0
POI_35 POI_47 POI_51,POI_63,491 491 491,1 0 0
POI_35 POI_47 POI_51 POI_63,POI_131,491 491 491 491,1 0 0 0
POI_35 POI_47 POI_51 POI_63 POI_131,POI_188,491 491 491 491 491,1 0 0 0 0
POI_35 POI_47 POI_51 POI_63 POI_131 POI_188,POI_230,491 491 491 491 491 491,1 0 0 0 0 0
POI_222 POI_51,POI_89,491 491,1 52
POI_2 POI_230,POI_188,492 492,1 8
POI_99 POI_230,POI_150,492 492,1 5
POI_99 POI_230 POI_150,POI_131,492 492 492,1 5 23
POI_90 POI_190,POI_188,492 492,1 4
POI_90 POI_190 POI_188,POI_189,492 492 492,1 4 1
POI_189 POI_224,POI_84,493 493,1 461
POI_189 POI_224 POI_84,POI_188,493 493 493,1 461 42
POI_12 POI_5,POI_11,494 494,1 9
POI_12 POI_5 POI_11,POI_8,494 494 494,1 9 6
POI_12 POI_5 POI_11 POI_8,POI_17,494 494 494 494,1 9 6 13
POI_12 POI_5 POI_11 POI_8 POI_17,POI_14,494 494 494 494 494,1 9 6 13 213
POI_12 POI_5 POI_11 POI_8 POI_17 POI_14,POI_13,494 494 494 494 494 494,1 9 6 13 213 12
POI_12 POI_5 POI_11 POI_8 POI_17 POI_14 POI_13,POI_188,494 494 494 494 494 494 494,1 9 6 13 213 12 2
POI_133 POI_84,POI_131,495 495,1 43
POI_65 POI_223,POI_228,496 496,1 93
POI_65 POI_223 POI_228,POI_190,496 496 496,1 93 73
POI_65 POI_223 POI_228 POI_190,POI_230,496 496 496 496,1 93 73 10
POI_228 POI_84,POI_19,496 496,1 16
POI_228 POI_84 POI_19,POI_223,496 496 496,1 16 7
POI_228 POI_84 POI_19 POI_223,POI_95,496 496 496 496,1 16 7 12
POI_228 POI_84 POI_19 POI_223 POI_95,POI_130,496 496 496 496 496,1 16 7 12 21
POI_228 POI_84 POI_19 POI_223 POI_95 POI_130,POI_131,496 496 496 496 496 496,1 16 7 12 21 39
POI_228 POI_84 POI_19 POI_223 POI_95 POI_130 POI_131,POI_99,496 496 496 496 496 496 496,1 16 7 12 21 39 109
POI_228 POI_84 POI_19 POI_223 POI_95 POI_130 POI_131 POI_99,POI_88,496 496 496 496 496 496 496 496,1 16 7 12 21 39 109 2
POI_228 POI_84 POI_19 POI_223 POI_95 POI_130 POI_131 POI_99 POI_88,POI_55,496 496 496 496 496 496 496 496 496,1 16 7 12 21 39 109 2 52
POI_228 POI_84 POI_19 POI_223 POI_95 POI_130 POI_131 POI_99 POI_88 POI_55,POI_188,496 496 496 496 496 496 496 496 496 496,1 16 7 12 21 39 109 2 52 0
POI_87 POI_216,POI_217,497 497,1 39
POI_87 POI_216 POI_217,POI_98,497 497 497,1 39 16
POI_87 POI_216 POI_217 POI_98,POI_99,497 497 497 497,1 39 16 24
POI_87 POI_216 POI_217 POI_98 POI_99,POI_131,497 497 497 497 497,1 39 16 24 41
POI_87 POI_216 POI_217 POI_98 POI_99 POI_131,POI_55,497 497 497 497 497 497,1 39 16 24 41 4
POI_87 POI_216 POI_217 POI_98 POI_99 POI_131 POI_55,POI_130,497 497 497 497 497 497 497,1 39 16 24 41 4 10
POI_230 POI_35,POI_189,500 500,1 64
POI_230 POI_35 POI_189,POI_190,500 500 500,1 64 112
POI_79 POI_92,POI_80,501 501,1 182
POI_230 POI_65,POI_205,501 501,1 4
POI_230 POI_65 POI_205,POI_173,501 501 501,1 4 5
POI_150 POI_35,POI_235,502 502,1 42
POI_130 POI_235,POI_98,502 502,1 128
POI_130 POI_235 POI_98,POI_87,502 502 502,1 128 36
POI_130 POI_235 POI_98 POI_87,POI_109,502 502 502 502,1 128 36 99
POI_130 POI_235 POI_98 POI_87 POI_109,POI_81,502 502 502 502 502,1 128 36 99 189
POI_130 POI_235 POI_98 POI_87 POI_109 POI_81,POI_84,502 502 502 502 502 502,1 128 36 99 189 50
POI_131 POI_93,POI_150,505 505,1 26
POI_61 POI_187,POI_105,506 506,1 156
POI_61 POI_187 POI_105,POI_7,506 506 506,1 156 20
POI_5 POI_7,POI_61,506 506,1 21
POI_5 POI_7 POI_61,POI_88,506 506 506,1 21 2
POI_136 POI_190,POI_201,506 506,1 182
POI_88 POI_105,POI_38,506 506,1 195
POI_88 POI_105 POI_38,POI_235,506 506 506,1 195 126
POI_88 POI_105 POI_38 POI_235,POI_236,506 506 506 506,1 195 126 3
POI_38 POI_165,POI_88,506 506,1 207
POI_213 POI_165,POI_201,506 506,1 104
POI_213 POI_165 POI_201,POI_38,506 506 506,1 104 15
POI_213 POI_165 POI_201 POI_38,POI_203,506 506 506 506,1 104 15 25
POI_213 POI_165 POI_201 POI_38 POI_203,POI_235,506 506 506 506 506,1 104 15 25 7
POI_205 POI_96,POI_105,506 506,1 121
POI_14 POI_178,POI_2,506 506,1 110
POI_14 POI_178 POI_2,POI_35,506 506 506,1 110 9
POI_14 POI_178 POI_2 POI_35,POI_90,506 506 506 506,1 110 9 15
POI_14 POI_178 POI_2 POI_35 POI_90,POI_236,506 506 506 506 506,1 110 9 15 58
POI_14 POI_178 POI_2 POI_35 POI_90 POI_236,POI_84,506 506 506 506 506 506,1 110 9 15 58 48
POI_235 POI_237,POI_110,506 506,1 88
POI_235 POI_237 POI_110,POI_38,506 506 506,1 88 74
POI_235 POI_237 POI_110 POI_38,POI_202,506 506 506 506,1 88 74 76
POI_235 POI_237 POI_110 POI_38 POI_202,POI_200,506 506 506 506 506,1 88 74 76 33
POI_68 POI_61,POI_38,506 506,1 363
POI_103 POI_110,POI_218,507 507,1 88
POI_103 POI_110 POI_218,POI_131,507 507 507,1 88 137
POI_103 POI_110 POI_218 POI_131,POI_84,507 507 507 507,1 88 137 251
POI_103 POI_110 POI_218 POI_131 POI_84,POI_228,507 507 507 507 507,1 88 137 251 3
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228,POI_190,507 507 507 507 507 507,1 88 137 251 3 11
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228 POI_190,POI_35,507 507 507 507 507 507 507,1 88 137 251 3 11 13
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228 POI_190 POI_35,POI_223,507 507 507 507 507 507 507 507,1 88 137 251 3 11 13 0
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228 POI_190 POI_35 POI_223,POI_224,507 507 507 507 507 507 507 507 507,1 88 137 251 3 11 13 0 0
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228 POI_190 POI_35 POI_223 POI_224,POI_19,507 507 507 507 507 507 507 507 507 507,1 88 137 251 3 11 13 0 0 0
POI_103 POI_110 POI_218 POI_131 POI_84 POI_228 POI_190 POI_35 POI_223 POI_224 POI_19,POI_229,507 507 507 507 507 507 507 507 507 507 507,1 88 137 251 3 11 13 0 0 0 34
POI_68 POI_136,POI_208,507 507,1 4
POI_68 POI_136 POI_208,POI_34,507 507 507,1 4 6
POI_68 POI_136 POI_208 POI_34,POI_16,507 507 507 507,1 4 6 3
POI_68 POI_136 POI_208 POI_34 POI_16,POI_17,507 507 507 507 507,1 4 6 3 2
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17,POI_89,507 507 507 507 507 507,1 4 6 3 2 5
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89,POI_51,507 507 507 507 507 507 507,1 4 6 3 2 5 7
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89 POI_51,POI_200,507 507 507 507 507 507 507 507,1 4 6 3 2 5 7 92
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89 POI_51 POI_200,POI_213,507 507 507 507 507 507 507 507 507,1 4 6 3 2 5 7 92 109
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89 POI_51 POI_200 POI_213,POI_202,507 507 507 507 507 507 507 507 507 507,1 4 6 3 2 5 7 92 109 7
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89 POI_51 POI_200 POI_213 POI_202,POI_12,507 507 507 507 507 507 507 507 507 507 507,1 4 6 3 2 5 7 92 109 7 2
POI_68 POI_136 POI_208 POI_34 POI_16 POI_17 POI_89 POI_51 POI_200 POI_213 POI_202 POI_12,POI_47,507 507 507 507 507 507 507 507 507 507 507 507,1 4 6 3 2 5 7 92 109 7 2 3
POI_235 POI_98,POI_74,511 511,1 0
POI_235 POI_98 POI_74,POI_14,511 511 511,1 0 0
POI_235 POI_98 POI_74 POI_14,POI_183,511 511 511 511,1 0 0 0
POI_235 POI_98 POI_74 POI_14 POI_183,POI_193,511 511 511 511 511,1 0 0 0 0
POI_235 POI_94,POI_98,511 511,1 7
POI_38 POI_189,POI_3,512 512,1 2
POI_189 POI_35,POI_90,512 512,1 60
POI_189 POI_35 POI_90,POI_38,512 512 512,1 60 23
POI_189 POI_35 POI_90 POI_38,POI_132,512 512 512 512,1 60 23 1
POI_189 POI_35 POI_90 POI_38 POI_132,POI_5,512 512 512 512 512,1 60 23 1 14
POI_189 POI_35 POI_90 POI_38 POI_132 POI_5,POI_12,512 512 512 512 512 512,1 60 23 1 14 3
POI_189 POI_35 POI_90 POI_38 POI_132 POI_5 POI_12,POI_11,512 512 512 512 512 512 512,1 60 23 1 14 3 9
POI_189 POI_35 POI_90 POI_38 POI_132 POI_5 POI_12 POI_11,POI_164,512 512 512 512 512 512 512 512,1 60 23 1 14 3 9 35
POI_35 POI_66,POI_189,515 515,1 17
POI_35 POI_66 POI_189,POI_136,515 515 515,1 17 1
POI_35 POI_66 POI_189 POI_136,POI_62,515 515 515 515,1 17 1 25
POI_35 POI_231,POI_99,519 519,1 484
POI_233 POI_68,POI_231,520 520,1 8
POI_137 POI_189,POI_97,520 520,1 117
POI_185 POI_228,POI_84,521 521,1 6
POI_218 POI_99,POI_188,521 521,1 11
POI_230 POI_131,POI_77,521 521,1 4
POI_152 POI_88,POI_131,524 524,1 115
POI_152 POI_88 POI_131,POI_95,524 524 524,1 115 5
POI_51 POI_65,POI_203,524 524,1 158
POI_236 POI_29,POI_177,526 526,1 7
POI_99 POI_97,POI_58,527 527,1 89
POI_131 POI_84,POI_230,528 528,1 8
POI_131 POI_84 POI_230,POI_97,528 528 528,1 8 83
POI_131 POI_84 POI_230 POI_97,POI_231,528 528 528 528,1 8 83 2
POI_131 POI_84 POI_230 POI_97 POI_231,POI_132,528 528 528 528 528,1 8 83 2 0
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132,POI_100,528 528 528 528 528 528,1 8 83 2 0 29
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100,POI_217,528 528 528 528 528 528 528,1 8 83 2 0 29 40
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217,POI_63,528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63,POI_68,528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68,POI_14,528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14,POI_13,528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14 POI_13,POI_169,528 528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7 2
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14 POI_13 POI_169,POI_90,528 528 528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7 2 2
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14 POI_13 POI_169 POI_90,POI_2,528 528 528 528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7 2 2 4
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14 POI_13 POI_169 POI_90 POI_2,POI_38,528 528 528 528 528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7 2 2 4 0
POI_131 POI_84 POI_230 POI_97 POI_231 POI_132 POI_100 POI_217 POI_63 POI_68 POI_14 POI_13 POI_169 POI_90 POI_2 POI_38,POI_235,528 528 528 528 528 528 528 528 528 528 528 528 528 528 528 528,1 8 83 2 0 29 40 211 3 3 7 2 2 4 0 3
POI_79 POI_232,POI_228,528 528,1 160
POI_221 POI_232,POI_111,528 528,1 220
POI_61 POI_235,POI_38,529 529,1 24
POI_61 POI_235 POI_38,POI_201,529 529 529,1 24 20
POI_57 POI_130,POI_231,530 530,1 5
POI_81 POI_35,POI_90,532 532,1 141
POI_230 POI_51,POI_190,533 533,1 48
POI_230 POI_51 POI_190,POI_47,533 533 533,1 48 210
POI_230 POI_51 POI_190 POI_47,POI_38,533 533 533 533,1 48 210 43
POI_230 POI_51 POI_190 POI_47 POI_38,POI_224,533 533 533 533 533,1 48 210 43 49
POI_163 POI_164,POI_237,535 535,1 29
POI_230 POI_231,POI_98,535 535,1 151
POI_99 POI_230,POI_188,537 537,1 5
POI_99 POI_230 POI_188,POI_190,537 537 537,1 5 121
POI_215 POI_80,POI_190,538 538,1 187
POI_11 POI_201,POI_164,540 540,1 86
POI_11 POI_201 POI_164,POI_204,540 540 540,1 86 38
POI_222 POI_190,POI_57,541 541,1 82
POI_107 POI_76,POI_131,541 541,1 16
POI_107 POI_76 POI_131,POI_190,541 541 541,1 16 77
POI_235 POI_136,POI_2,544 544,1 6
POI_235 POI_136 POI_2,POI_160,544 544 544,1 6 54
POI_235 POI_136 POI_2 POI_160,POI_35,544 544 544 544,1 6 54 47
POI_205 POI_204,POI_133,545 545,1 3
POI_223 POI_84,POI_135,545 545,1 102
POI_177 POI_188,POI_47,548 548,1 0
POI_177 POI_188 POI_47,POI_90,548 548 548,1 0 0
POI_177 POI_188 POI_47 POI_90,POI_190,548 548 548 548,1 0 0 0
POI_117 POI_190,POI_230,552 552,1 18
POI_117 POI_190 POI_230,POI_131,552 552 552,1 18 2
POI_117 POI_190 POI_230 POI_131,POI_84,552 552 552 552,1 18 2 14
POI_117 POI_190 POI_230 POI_131 POI_84,POI_228,552 552 552 552 552,1 18 2 14 7
POI_117 POI_190 POI_230 POI_131 POI_84 POI_228,POI_95,552 552 552 552 552 552,1 18 2 14 7 4
POI_117 POI_190 POI_230 POI_131 POI_84 POI_228 POI_95,POI_186,552 552 552 552 552 552 552,1 18 2 14 7 4 15
POI_117 POI_190 POI_230 POI_131 POI_84 POI_228 POI_95 POI_186,POI_136,552 552 552 552 552 552 552 552,1 18 2 14 7 4 15 9
POI_164 POI_201,POI_65,554 554,1 17
POI_90 POI_38,POI_189,555 555,1 1
POI_90 POI_38 POI_189,POI_131,555 555 555,1 1 5
POI_90 POI_230,POI_189,556 556,1 63
POI_90 POI_230 POI_189,POI_35,556 556 556,1 63 17
POI_90 POI_230 POI_189 POI_35,POI_65,556 556 556 556,1 63 17 136
POI_4 POI_220,POI_218,556 556,1 353
POI_202 POI_12,POI_136,557 557,1 47
POI_230 POI_120,POI_13,558 558,1 41
POI_230 POI_120 POI_13,POI_14,558 558 558,1 41 49
POI_204 POI_10,POI_220,565 565,1 21
POI_204 POI_10 POI_220,POI_213,565 565 565,1 21 74
POI_229 POI_224,POI_159,566 566,1 0
POI_229 POI_224 POI_159,POI_14,566 566 566,1 0 7
POI_229 POI_224 POI_159 POI_14,POI_189,566 566 566 566,1 0 7 2
POI_229 POI_224 POI_159 POI_14 POI_189,POI_230,566 566 566 566 566,1 0 7 2 9
POI_229 POI_224 POI_159 POI_14 POI_189 POI_230,POI_1,566 566 566 566 566 566,1 0 7 2 9 1
POI_57 POI_88,POI_130,569 569,1 10
POI_57 POI_88 POI_130,POI_84,569 569 569,1 10 10
POI_57 POI_88 POI_130 POI_84,POI_131,569 569 569 569,1 10 10 143
POI_5 POI_230,POI_97,570 570,1 20
POI_5 POI_230 POI_97,POI_189,570 570 570,1 20 15
POI_5 POI_230 POI_97 POI_189,POI_66,570 570 570 570,1 20 15 2
POI_5 POI_230 POI_97 POI_189 POI_66,POI_35,570 570 570 570 570,1 20 15 2 4
POI_164 POI_230,POI_189,570 570,1 36
POI_164 POI_230 POI_189,POI_90,570 570 570,1 36 8
POI_164 POI_230 POI_189 POI_90,POI_35,570 570 570 570,1 36 8 8
POI_164 POI_230 POI_189 POI_90 POI_35,POI_169,570 570 570 570 570,1 36 8 8 0
POI_164 POI_230 POI_189 POI_90 POI_35 POI_169,POI_38,570 570 570 570 570 570,1 36 8 8 0 4
POI_164 POI_230 POI_189 POI_90 POI_35 POI_169 POI_38,POI_236,570 570 570 570 570 570 570,1 36 8 8 0 4 1
POI_164 POI_230 POI_189 POI_90 POI_35 POI_169 POI_38 POI_236,POI_12,570 570 570 570 570 570 570 570,1 36 8 8 0 4 1 8
POI_102 POI_236,POI_202,571 571,1 4
POI_102 POI_236 POI_202,POI_190,571 571 571,1 4 2
POI_102 POI_236 POI_202 POI_190,POI_95,571 571 571 571,1 4 2 1
POI_102 POI_236 POI_202 POI_190 POI_95,POI_47,571 571 571 571 571,1 4 2 1 4
POI_102 POI_236 POI_202 POI_190 POI_95 POI_47,POI_5,571 571 571 571 571 571,1 4 2 1 4 150
POI_102 POI_236 POI_202 POI_190 POI_95 POI_47 POI_5,POI_231,571 571 571 571 571 571 571,1 4 2 1 4 150 9
POI_102 POI_236 POI_202 POI_190 POI_95 POI_47 POI_5 POI_231,POI_232,571 571 571 571 571 571 571 571,1 4 2 1 4 150 9 347
POI_130 POI_127,POI_85,571 571,1 13
POI_130 POI_127 POI_85,POI_73,571 571 571,1 13 25
POI_104 POI_117,POI_11,571 571,1 140
POI_104 POI_117 POI_11,POI_80,571 571 571,1 140 12
POI_14 POI_189,POI_190,572 572,1 2
POI_14 POI_189 POI_190,POI_230,572 572 572,1 2 29
POI_14 POI_189 POI_190 POI_230,POI_131,572 572 572 572,1 2 29 56
POI_14 POI_189 POI_190 POI_230 POI_131,POI_164,572 572 572 572 572,1 2 29 56 27
POI_14 POI_189 POI_190 POI_230 POI_131 POI_164,POI_65,572 572 572 572 572 572,1 2 29 56 27 52
POI_230 POI_131,POI_229,572 572,1 9
POI_230 POI_131 POI_229,POI_84,572 572 572,1 9 26
POI_161 POI_87,POI_124,572 572,1 7
POI_161 POI_87 POI_124,POI_61,572 572 572,1 7 50
POI_161 POI_87 POI_124 POI_61,POI_90,572 572 572 572,1 7 50 249
POI_35 POI_190,POI_84,577 577,1 8
POI_218 POI_228,POI_81,578 578,1 34
POI_218 POI_228 POI_81,POI_80,578 578 578,1 34 16
POI_218 POI_228 POI_81 POI_80,POI_185,578 578 578 578,1 34 16 3
POI_201 POI_190,POI_189,580 580,1 119
POI_55 POI_188,POI_66,581 581,1 11
POI_55 POI_188 POI_66,POI_230,581 581 581,1 11 38
POI_55 POI_188 POI_66 POI_230,POI_150,581 581 581 581,1 11 38 16
POI_182 POI_124,POI_213,581 581,1 170
POI_14 POI_13,POI_164,581 581,1 2
POI_161 POI_137,POI_208,581 581,1 33
POI_161 POI_137 POI_208,POI_230,581 581 581,1 33 52
POI_119 POI_110,POI_61,581 581,1 9
POI_110 POI_119,POI_5,581 581,1 17
POI_5 POI_119,POI_110,581 581,1 284
POI_5 POI_119 POI_110,POI_105,581 581 581,1 284 7
